"StationName","GridID","lat","lon","1997-06-15","1997-07-15","1997-08-15","1998-06-15","1998-07-15","1998-08-15","1999-06-15","1999-07-15","1999-08-15","2000-06-15","2000-07-15","2000-08-15","2001-06-15","2001-07-15","2001-08-15","2002-06-15","2002-07-15","2002-08-15","2003-06-15","2003-07-15","2003-08-15","2004-06-15","2004-07-15","2004-08-15","2005-06-15","2005-07-15","2005-08-15"
"Nyalam",21,28.1833333333333,85.9666666666667,-12.6835787371973,-18.4769840258869,-18.154162488124,-11.1555418316565,-17.5839691339224,-16.1730930218259,-14.4893832682292,-14.3138166399395,-17.0788060846561,-14.9602251247988,-14.3330802275905,-15.7133047311585,NA,NA,NA,NA,NA,NA,-10.6950700108278,-13.0639559413053,-16.8643454591878,NA,NA,NA,-14.2107639436436,-11.4646381656141,-13.3196869057261
"Dingri",45,28.65,87.1166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.73865853658537,-19.6176488757104,-19.0310730994152,NA,NA,NA,NA,NA,NA,-15.0184690653404,-18.2912703738165,-20.8687599101669,NA,NA,NA,-3.11915167095116,-18.2039138271917,-21.647570803139
"Wengguo",50,28.9,90.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.2732367749856,-17.966642106213,-18.5168331575872,NA,NA,NA
"Dui",51,28.5833333333333,90.5333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.0899426152815,-19.068478876929,-22.3014195885672,NA,NA,NA
"Larzi",74,29.0833333333333,87.6833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.0613749367089,-20.7038381290323,-21.271261223203
"Baidi",78,29.1166666666667,90.4333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.8678967051569,-21.8190479128882,-19.5816246063113,NA,NA,NA
"Nuxia",85,29.4666666666667,94.5666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.95613304878049,-14.7257934521576,-14.7740339723926
"Lhasa",111,29.7,91.1333333333333,-7.77663585522298,-18.0815902882485,-19.4496800168908,-19.0444113377655,-21.1705721659521,-22.0939075591519,-14.0469915942029,-17.5030165859564,-16.6133798190045,-13.5574495241894,-19.4787299225377,-22.5157963875468,-13.9911337830747,-22.0935517475638,-18.228596146403,-6.58801690520009,-17.4770738320816,-17.5292523299767,-11.3634485096014,-16.4817373553886,-18.6572842720021,-14.1470312680737,-17.4172985051692,-19.2369291808585,-7.54542450180753,-19.1957253670337,-20.6020142224513
"Nagqu",220,31.4833333333333,92.0666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.6830916534349,-15.7454903474445,-20.6864254307051,-13.6268620600767,-19.4518330582953,-20.4788963260931,-8.41576835411125,-19.3761608936873,-14.5329791675668,-13.9939165560952,-18.047837353826,-20.1639237637152,-9.23067494331986,-14.8794672002275,-20.0461522045185,-6.67704319574048,-21.9879878469845,-22.4693156383643
"Shiquanhe",281,32.5,80.0833333333333,NA,NA,NA,NA,NA,NA,-18.6112769230769,-21.5403948684211,-19.1288168797954,-15.5344655293167,-19.5599269713247,-18.0876577706219,-1.80515334086079,-5.13741006065808,-0.80879449782785,-8.87925431474328,NA,-10.1822181604032,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gaize",287,32.3,84.0666666666667,NA,NA,NA,NA,-0.124883686207399,-0.861194629507778,NA,NA,NA,-12.2097193984804,-12.9202634218172,-12.6271943586395,-7.83801131558471,-11.569775319414,-8.88636101388232,-8.06307845172746,-5.79383668236164,-14.7375024198831,-8.93831026040188,-8.34912641066282,-17.3696002544555,NA,NA,NA,-9.8405358800902,-13.1793728438677,-11.4832456411844
"Yushu",347,33.0166666666667,97.0166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.140469095537,-12.4608892281893,-12.8975972538363,-7.0913678844619,-16.5017617643119,-16.7336253177462,NA,NA,NA,-8.66319128545149,-17.1646356416278,-15.269619802472,NA,NA,NA
"Tuotuohe",474,34.2166666666667,92.4333333333333,-9.19693313407477,-11.5406286456222,-10.9459488425898,-5.71143625035392,-10.4149808433319,-12.5668121550555,-10.4817517373461,-5.85337030503979,-20.2205794642857,-11.0932529327556,-13.4947299329363,-9.98519605169985,-11.2633871111856,-10.2808529963795,-17.6102810078229,-3.52813484895819,-11.7330047019569,-9.46727376935131,NA,NA,NA,-5.84868178990872,-11.7868445019271,-11.8179998278218,-8.30398684751336,-15.7769138716118,-14.5406509363215
"Delingha",760,37.3666666666667,97.3666666666667,-7.3569024834945,-2.09418698006003,-1.65995625443892,-2.53053363035848,-5.1148163813659,-7.5090287671766,-3.18743899868351,-4.89892384454713,-5.53616452387456,-6.51221574036583,-4.69103749211944,-3.80521391532762,-5.7628857535707,NA,-8.06858831393697,-4.18817907523389,-4.96659550942812,-5.11463136430823,-5.10349428291305,-5.08599932127108,-6.06748514106888,-4.80355063485373,-3.17499332231427,-10.2847771127521,-4.24670851879847,-9.75612039806005,-4.39070933584054
"Taxkorgen",774,37.7666666666667,75.2666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.09369520753381,2.39597117925341,5.82360800618608,-12.8154900919899,1.52277356165272,-1.00643303333115
